Timestamp(ms),Current(uA),D0-D7
293,3119.041,00000000
294,3113.602,00000000
295,3097.626,00000000
296,3054.028,00000000
297,3056.484,00000000
298,3066.674,00000000
299,3179.869,00000000
300,3089.307,00000000
301,3076.771,00000000
302,3096.823,00000000
303,3054.317,00000000
304,3049.257,00000000
305,3140.869,00000000
306,3094.319,00000000
307,3061.022,00000000
308,3066.935,00000000
309,3074.379,00000000
310,3156.741,00000000
311,3104.246,00000000
312,3093.101,00000000
313,3047.630,00000000
314,3073.709,00000000
315,3070.482,00000000
316,3174.670,00000000
317,3087.402,00000000
318,3074.628,00000000
319,3084.542,00000000
320,3064.306,00000000
321,3065.754,00000000
322,3181.128,00000000
323,3080.277,00000000
324,3062.444,00000000
325,3072.096,00000000
326,3060.425,00000000
327,3052.250,00000000
328,3156.773,00000000
329,3072.555,00000000
330,3062.975,00000000
331,3075.407,00000000
332,3078.223,00000000
333,3050.958,00000000
334,3134.000,00000000
335,3102.975,00000000
336,3057.773,00000000
337,3062.765,00000000
338,3103.422,00000000
339,3116.828,00000000
340,3131.614,00000000
341,3103.912,00000000
342,3056.212,00000000
343,3064.741,00000000
344,3072.392,00000000
345,3153.168,00000000
346,3100.190,00000000
347,3086.086,00000000
348,3040.298,00000000
349,3051.500,00000000
350,3085.979,00000000
351,3163.604,00000000
352,3105.898,00000000
353,3088.601,00000000
354,3059.158,00000000
355,3055.534,00000000
356,3060.381,00000000
357,3176.424,00000000
358,3085.655,00000000
359,3069.075,00000000
360,3090.694,00000000
361,3046.152,00000000
362,3081.337,00000000
363,3179.512,00000000
364,3080.690,00000000
365,3066.778,00000000
366,3078.438,00000000
367,3050.101,00000000
368,3056.036,00000000
369,3109.507,00000000
370,3054.709,00000000
371,3033.171,00000000
372,3023.334,00000000
373,3019.822,00000000
374,3148.435,00000000
375,3111.226,00000000
376,3092.443,00000000
377,3059.661,00000000
378,3053.210,00000000
379,3061.130,00000000
380,3190.566,00000000
381,3085.892,00000000
382,3073.011,00000000
383,3083.073,00000000
384,3058.709,00000000
385,3046.007,00000000
