1779607166.471593,0
1779607166.481137,2
1779607166.573627,9
1779607166.586335,10
1779607166.683972,16
1779607166.687846,15
1779607166.804085,19
1779607166.804363,19
1779607166.913866,20
1779607166.918384,20
1779607167.042261,20
1779607167.043863,19
1779607167.193318,19
1779607167.193923,19
1779607167.326745,19
1779607167.327799,19
1779607167.456623,18
1779607167.457869,18
1779607167.576970,19
1779607167.577359,19
1779607167.709583,19
1779607167.710142,19
1779607167.844231,18
1779607167.844899,18
1779607167.965128,13
1779607167.965385,13
1779607168.102112,13
1779607168.102589,12
1779607168.340597,11
1779607168.340947,11
1779607168.677244,11
1779607168.772550,12
1779607168.854439,11
1779607169.430056,13
1779607169.634637,13
1779607169.645420,12
1779607169.813639,14
1779607169.814328,14
1779607169.934192,14
1779607169.934620,15
1779607170.054638,14
1779607170.055751,14
1779607170.178149,16
1779607170.178485,16
1779607170.305533,15
1779607170.306218,16
1779607170.431268,16
1779607170.432094,17
1779607170.555887,15
1779607170.556260,15
1779607170.677890,15
1779607170.678543,15
1779607170.789373,15
1779607170.789640,15
1779607170.907832,15
1779607170.908832,15
1779607171.114661,15
1779607171.115263,15
1779607171.337349,15
1779607171.341067,15
1779607171.535762,15
1779607171.537058,15
1779607171.694393,16
1779607171.694690,16
1779607171.801244,17
1779607171.801976,16
1779607171.939004,18
1779607171.940354,18
1779607172.055482,20
1779607172.055931,20
1779607172.173334,16
1779607172.173796,16
1779607172.304225,17
1779607172.304954,17
1779607172.454458,16
1779607172.454909,16
1779607172.580815,17
1779607172.581206,18
1779607172.701138,17
1779607172.701473,17
1779607172.841758,18
1779607172.842375,18
1779607172.994259,17
1779607172.994716,17
1779607173.122666,18
1779607173.123096,18
1779607173.269727,18
1779607173.270535,18
1779607173.388875,18
1779607173.389282,18
1779607173.521218,19
1779607173.521593,19
1779607173.646991,19
1779607173.647478,19
1779607173.764160,19
1779607173.764611,19
1779607173.894322,19
1779607173.894679,20
1779607174.051404,19
1779607174.053425,19
1779607174.205327,19
1779607174.206336,19
1779607174.331166,20
1779607174.334864,18
1779607174.467013,19
1779607174.467434,19
1779607174.589508,20
1779607174.589925,20
1779607174.714445,19
1779607174.714832,19
1779607174.858936,18
1779607174.859366,18
1779607174.979995,18
1779607174.980621,18
1779607175.130016,16
1779607175.130416,16
1779607175.264361,13
1779607175.265271,14
1779607175.390688,12
1779607175.391955,12
1779607175.497273,13
1779607175.497450,13
1779607175.613927,14
1779607175.614170,14
1779607175.755737,16
1779607175.756070,16
1779607175.879686,17
1779607175.880050,16
1779607175.991907,16
1779607175.993067,16
1779607176.163147,15
1779607176.163426,16
1779607176.295674,17
1779607176.295939,17
1779607176.433071,16
