1779606959.987579176,20
1779606960.091610169,30
1779606960.205292202,46
1779606960.328689183,62
1779606960.445860905,72
1779606960.563707332,88
1779606960.691468112,102
1779606960.808803948,116
1779606960.924093917,132
1779606961.050025698,142
1779606961.153296011,156
1779606961.270537372,168
1779606961.394065823,186
1779606961.530294238,202
1779606961.660470256,214
1779606961.787054092,228
1779606961.907719980,242
1779606962.022527085,256
1779606962.137141511,270
1779606962.262605814,282
1779606962.376960881,294
1779606962.494692062,308
1779606962.609459311,322
1779606962.731679409,336
1779606962.848206210,350
1779606962.968574969,332
1779606963.085508380,314
1779606963.208439785,299
1779606963.321869680,272
1779606963.442629600,259
1779606963.554384896,244
1779606963.667944283,230
1779606963.786657835,213
1779606963.902301920,192
1779606964.020620418,180
1779606964.139067423,162
1779606964.257715332,148
1779606964.389613218,134
1779606964.501533853,120
1779606964.615993575,175
1779606964.787464609,174
1779606964.922971094,174
1779606965.048392654,173
1779606965.184773896,172
1779606965.309469891,172
1779606965.442838077,172
1779606965.599369644,170
1779606965.727738819,127
1779606965.850859041,127
1779606965.979926880,127
1779606966.094673488,127
1779606966.209794370,128
1779606966.326221875,128
1779606966.437295184,128
1779606966.548960162,129
1779606966.663936803,129
1779606966.789651336,136
1779606966.917918662,136
1779606967.050042331,136
1779606967.166803875,136
1779606967.289006944,136
1779606967.437164596,136
1779606967.560201487,136
1779606967.680312441,136
1779606967.806013035,135
1779606967.930398298,135
1779606968.054235436,133
1779606968.169923483,125
1779606968.291665184,118
1779606968.418544097,111
1779606968.539692503,103
1779606968.661561654,95
1779606968.782886506,88
1779606968.895678947,88
1779606969.011978580,84
1779606969.119398465,86
1779606969.241210846,88
1779606969.366353348,88
1779606969.502483523,88
1779606969.631789967,88
1779606969.761042873,88
1779606969.900078695,88
1779606970.033762072,88
1779606970.169272389,88
1779606970.293547965,88
1779606970.423499054,88
1779606970.552800185,88
1779606970.678374303,89
1779606970.807393701,89
1779606970.923047577,89
1779606971.035203472,89
1779606971.154180486,89
1779606971.272808565,89
1779606971.393186074,89
1779606971.501614010,90
1779606971.622706765,90
1779606971.753358829,90
1779606971.889158149,90
1779606972.016763408,90
1779606972.150088405,90
1779606972.273798846,90
1779606972.399907009,91
1779606972.522342530,91
1779606972.670144025,91
1779606972.806298634,91
1779606972.920735663,91
1779606973.041295725,91
1779606973.156286277,92
1779606973.278215974,92
1779606973.411092102,92
1779606973.527076216,92
1779606973.655046947,92
1779606973.782348678,92
1779606973.909080070,93
1779606974.025621109,93
1779606974.147938132,93
1779606974.275585110,93
1779606974.432194383,93
1779606974.572397235,93
1779606974.693782983,94
