t_start_ms,t_end_ms,duration_ms,peak_ua,mean_ua,energy_total_uj,energy_marginal_uj,type
5755.0,5760.0,6,2940.78,1888.6053333333332,33.994896000000004,18.848687999999996,inference
5763.0,5765.0,3,1327.945,1212.256,10.910304,3.3371999999999997,inference
5783.0,5791.0,9,3145.589,1670.9403333333332,45.11538899999999,22.396077000000002,inference
5803.0,5805.0,3,1347.787,1212.374,10.911366000000003,3.3382620000000007,inference
5817.0,5825.0,9,3113.255,1665.1463333333334,44.958951,22.239639,inference
5843.0,5845.0,3,1330.36,1192.6963333333333,10.734267000000001,3.161163,inference
5849.0,5856.0,8,2943.241,1583.3515,38.000436,17.805491999999997,inference
5863.0,5865.0,3,1309.148,1207.6863333333333,10.869177,3.2960729999999994,inference
5883.0,5890.0,8,3059.578,1753.06825,42.073638,21.878694,inference
5903.0,5905.0,3,1334.087,1208.042333333333,10.872380999999997,3.299276999999999,inference
5923.0,5928.0,6,2884.72,1784.6319999999998,32.123376,16.977168,inference
5943.0,5945.0,3,1313.456,1205.7403333333334,10.851663,3.2785590000000004,inference
5960.0,5966.0,7,4025.043,2138.4004285714286,44.90640900000001,27.235833,inference
5983.0,5985.0,3,1366.015,1220.9996666666666,10.988997,3.415893,inference
5991.0,5996.0,6,3122.05,1883.0051666666666,33.89409299999999,18.747885000000004,inference
6003.0,6005.0,3,1325.772,1210.5983333333334,10.895385000000001,3.322280999999999,inference
6023.0,6030.0,8,3613.41,1977.385625,47.457254999999996,27.262311,inference
6043.0,6045.0,3,1324.652,1213.8656666666666,10.924790999999999,3.351687,inference
6063.0,6067.0,5,3139.569,2037.0702,30.556053000000002,17.934213,inference
6083.0,6085.0,3,1353.429,1212.1586666666667,10.909428,3.336324,inference
6102.0,6107.0,6,2945.969,1778.8611666666668,32.019501000000005,16.873292999999997,inference
6123.0,6125.0,3,1338.586,1195.616,10.760544,3.18744,inference
6134.0,6148.0,15,8311.706,5048.946800000001,227.20260600000003,189.33708600000003,ble
